REG,PROV,CODAT,DESC,CESSUFFSC,CESSUFFSP,CESSUFFDI,CESSUFFAF,CESSUFFTOT,Anno
PIE,  ,A   ,"Agricoltura, silvicoltura pesca                             ",0,23,362,10,395,2023
PIE,  ,A 01,"Coltivazioni agricole e produzione di prodotti animali, c...",0,23,354,10,387,2023
PIE,  ,A 02,Silvicoltura ed utilizzo di aree forestali                  ,0,0,8,0,8,2023
PIE,  ,A 03,Pesca e acquacoltura                                        ,0,0,0,0,0,2023
PIE,  ,B   ,Estrazione di minerali da cave e miniere                    ,0,0,0,0,0,2023
PIE,  ,B 05,Estrazione di carbone (esclusa torba)                       ,0,0,0,0,0,2023
PIE,  ,B 06,Estraz.di petrolio greggio e di gas naturale                ,0,0,0,0,0,2023
PIE,  ,B 07,Estrazione di minerali metalliferi                          ,0,0,0,0,0,2023
PIE,  ,B 08,Altre attività di estrazione di minerali da cave e miniere  ,0,0,0,0,0,2023
PIE,  ,B 09,Attività dei servizi di supporto all'estrazione             ,0,0,0,0,0,2023
PIE,  ,C   ,Attività manifatturiere                                     ,71,192,126,11,400,2023
PIE,  ,C 10,Industrie alimentari                                        ,4,22,4,1,31,2023
PIE,  ,C 11,Industria delle bevande                                     ,0,1,0,0,1,2023
PIE,  ,C 12,Industria del tabacco                                       ,0,0,0,0,0,2023
PIE,  ,C 13,Industrie tessili                                           ,2,25,1,0,28,2023
PIE,  ,C 14,Confezione di articoli di abbigliamento; confezione di ar...,2,8,17,1,28,2023
PIE,  ,C 15,Fabbricazione di articoli in pelle e simili                 ,0,0,2,0,2,2023
PIE,  ,C 16,Industria del legno e dei prodotti in legno e sughero (es...,1,5,13,1,20,2023
PIE,  ,C 17,Fabbricazione di carta e di prodotti di carta               ,1,0,0,0,1,2023
PIE,  ,C 18,Stampa e riproduzione di supporti registrati                ,2,8,3,0,13,2023
PIE,  ,C 19,Fabbricazione di coke e prodotti derivanti dalla raffinaz...,0,0,0,0,0,2023
PIE,  ,C 20,Fabbricazione di prodotti chimici                           ,1,1,0,0,2,2023
PIE,  ,C 21,Fabbricazione di prodotti farmaceutici di base e di prepa...,0,0,0,0,0,2023
PIE,  ,C 22,Fabbricazione di articoli in gomma e materie plastiche      ,5,6,1,2,14,2023
PIE,  ,C 23,Fabbricazione di altri prodotti della lavorazione di miner..,5,1,4,0,10,2023
PIE,  ,C 24,Metallurgia                                                 ,0,3,0,0,3,2023
PIE,  ,C 25,Fabbricazione di prodotti in metallo (esclusi macchinari ...,16,53,46,1,116,2023
PIE,  ,C 26,Fabbricazione di computer e prodotti di elettronica e ott...,5,2,0,0,7,2023
PIE,  ,C 27,Fabbricazione di apparecchiature elettriche ed apparecchi...,5,4,2,0,11,2023
PIE,  ,C 28,Fabbricazione di macchinari ed apparecchiature nca          ,12,16,4,3,35,2023
PIE,  ,C 29,"Fabbricazione di autoveicoli, rimorchi e semirimorchi       ",3,4,1,0,8,2023
PIE,  ,C 30,Fabbricazione di altri mezzi di trasporto                   ,3,1,0,0,4,2023
PIE,  ,C 31,Fabbricazione di mobili                                     ,0,8,5,0,13,2023
PIE,  ,C 32,Altre industrie manifatturiere                              ,2,18,12,1,33,2023
PIE,  ,C 33,"Riparazione, manutenzione ed installazione di macchine ed...",2,6,11,1,20,2023
PIE,  ,D   ,"Fornitura di energia elettrica, gas, vapore e aria condiz...",1,0,3,1,5,2023
