REG,PROV,CODAT,DESC,CESSUFFSC,CESSUFFSP,CESSUFFDI,CESSUFFAF,CESSUFFTOT,Anno
PIE,  ,A   ,"Agricoltura, silvicoltura pesca                             ",1,5,78,43,127,2024
PIE,  ,A 01,"Coltivazioni agricole e produzione di prodotti animali, c...",1,5,75,41,122,2024
PIE,  ,A 02,Silvicoltura ed utilizzo di aree forestali                  ,0,0,3,2,5,2024
PIE,  ,A 03,Pesca e acquacoltura                                        ,0,0,0,0,0,2024
PIE,  ,B   ,Estrazione di minerali da cave e miniere                    ,0,0,0,0,0,2024
PIE,  ,B 05,Estrazione di carbone (esclusa torba)                       ,0,0,0,0,0,2024
PIE,  ,B 06,Estraz.di petrolio greggio e di gas naturale                ,0,0,0,0,0,2024
PIE,  ,B 07,Estrazione di minerali metalliferi                          ,0,0,0,0,0,2024
PIE,  ,B 08,Altre attività di estrazione di minerali da cave e miniere  ,0,0,0,0,0,2024
PIE,  ,B 09,Attività dei servizi di supporto all'estrazione             ,0,0,0,0,0,2024
PIE,  ,C   ,Attività manifatturiere                                     ,90,109,51,47,297,2024
PIE,  ,C 10,Industrie alimentari                                        ,1,16,4,2,23,2024
PIE,  ,C 11,Industria delle bevande                                     ,1,1,0,1,3,2024
PIE,  ,C 12,Industria del tabacco                                       ,0,0,0,0,0,2024
PIE,  ,C 13,Industrie tessili                                           ,24,5,1,0,30,2024
PIE,  ,C 14,Confezione di articoli di abbigliamento; confezione di ar...,8,7,2,3,20,2024
PIE,  ,C 15,Fabbricazione di articoli in pelle e simili                 ,0,7,0,1,8,2024
PIE,  ,C 16,Industria del legno e dei prodotti in legno e sughero (es...,2,10,2,1,15,2024
PIE,  ,C 17,Fabbricazione di carta e di prodotti di carta               ,1,1,0,0,2,2024
PIE,  ,C 18,Stampa e riproduzione di supporti registrati                ,1,5,2,4,12,2024
PIE,  ,C 19,Fabbricazione di coke e prodotti derivanti dalla raffinaz...,0,0,0,0,0,2024
PIE,  ,C 20,Fabbricazione di prodotti chimici                           ,3,2,0,0,5,2024
