Anno,Trimestre,Settore,Divisione,Regione,Provincia,Forma giuridica,Tipo ricerca,Registrate,Attive,Iscrizioni,Cessazioni non d ufficio,Saldo
2022,0,C Attività manifatturiere,C 23 Fabbricazione di altri prodotti della lavorazione di miner..,SARDEGNA,NUORO,IMPRESE INDIVIDUALI,Totale imprese,100,97,1,7,-6
2022,0,J Servizi di informazione e comunicazione,J 60 Attività di programmazione e trasmissione,SARDEGNA,NUORO,SOCIETA' DI PERSONE,Totale imprese,3,3,0,0,0
2022,0,G Commercio all'ingrosso e al dettaglio; riparazione di aut...,G 47 Commercio al dettaglio (escluso quello di autoveicoli e d...,SARDEGNA,CAGLIARI,SOCIETA' DI CAPITALE,Totale imprese,1547,1258,5,46,-41
2022,0,P Istruzione,P 85 Istruzione,SARDEGNA,CAGLIARI,ALTRE FORME,Totale imprese,115,109,1,3,-2
2022,0,"N Noleggio, agenzie di viaggio, servizi di supporto alle imp...",N 82 Attività di supporto per le funzioni d'ufficio e altri se...,SARDEGNA,CAGLIARI,SOCIETA' DI PERSONE,Totale imprese,82,73,0,5,-5
2022,0,C Attività manifatturiere,"C 29 Fabbricazione di autoveicoli, rimorchi e semirimorchi",SARDEGNA,ORISTANO,SOCIETA' DI CAPITALE,Totale imprese,1,1,0,0,0
2022,0,"M Attività professionali, scientifiche e tecniche",M 71 Attività degli studi di architettura e d'ingegneria; coll...,SARDEGNA,ORISTANO,ALTRE FORME,Totale imprese,9,7,0,0,0
2022,0,"M Attività professionali, scientifiche e tecniche",M 73 Pubblicità e ricerche di mercato,SARDEGNA,ORISTANO,ALTRE FORME,Totale imprese,3,2,0,1,-1
2022,0,"R Attività artistiche, sportive, di intrattenimento e diver...","R 93 Attività sportive, di intrattenimento e di divertimento",SARDEGNA,SASSARI,SOCIETA' DI PERSONE,Totale imprese,68,51,0,1,-1
2022,0,C Attività manifatturiere,C 18 Stampa e riproduzione di supporti registrati,SARDEGNA,CAGLIARI,IMPRESE INDIVIDUALI,Totale imprese,83,82,2,6,-4
2022,0,S Altre attività di servizi,S 95 Riparazione di computer e di beni per uso personale e per...,SARDEGNA,ORISTANO,IMPRESE INDIVIDUALI,Totale imprese,67,67,2,2,0
2022,0,C Attività manifatturiere,C 10 Industrie alimentari,SARDEGNA,SASSARI,ALTRE FORME,Totale imprese,48,37,0,1,-1
2022,0,"A Agricoltura, silvicoltura pesca","A 01 Coltivazioni agricole e produzione di prodotti animali, c...",SARDEGNA,CAGLIARI,IMPRESE INDIVIDUALI,Totale imprese,9066,9050,253,289,-36
2022,0,J Servizi di informazione e comunicazione,J 61 Telecomunicazioni,SARDEGNA,CAGLIARI,ALTRE FORME,Totale imprese,2,0,0,0,0
2022,0,"N Noleggio, agenzie di viaggio, servizi di supporto alle imp...",N 81 Attività di servizi per edifici e paesaggio,SARDEGNA,ORISTANO,SOCIETA' DI PERSONE,Totale imprese,4,3,0,2,-2
2022,0,F Costruzioni,F 43 Lavori di costruzione specializzati,SARDEGNA,SASSARI,ALTRE FORME,Totale imprese,79,61,1,4,-3
2022,0,"E Fornitura di acqua; reti fognarie, attività di gestione d...","E 38 Attività di raccolta, trattamento e smaltimento dei rifiu...",SARDEGNA,SASSARI,SOCIETA' DI CAPITALE,Totale imprese,54,45,0,0,0
2022,0,J Servizi di informazione e comunicazione,"J 62 Produzione di software, consulenza informatica e attività...",SARDEGNA,NUORO,SOCIETA' DI PERSONE,Totale imprese,6,3,0,0,0
2022,0,F Costruzioni,F 43 Lavori di costruzione specializzati,SARDEGNA,CAGLIARI,SOCIETA' DI CAPITALE,Totale imprese,822,712,11,8,3
2022,0,J Servizi di informazione e comunicazione,"J 62 Produzione di software, consulenza informatica e attività...",SARDEGNA,ORISTANO,SOCIETA' DI CAPITALE,Totale imprese,15,14,0,1,-1
2022,0,J Servizi di informazione e comunicazione,"J 59 Attività di produzione cinematografica, di video e di pro...",SARDEGNA,ORISTANO,IMPRESE INDIVIDUALI,Totale imprese,5,5,0,1,-1
2022,0,I Attività dei servizi di alloggio e di ristorazione,I 55 Alloggio,SARDEGNA,SASSARI,IMPRESE INDIVIDUALI,Totale imprese,310,304,24,16,8
2022,0,J Servizi di informazione e comunicazione,J 58 Attività editoriali,SARDEGNA,NUORO,ALTRE FORME,Totale imprese,4,4,0,0,0
2022,0,"A Agricoltura, silvicoltura pesca",A 02 Silvicoltura ed utilizzo di aree forestali,SARDEGNA,NUORO,ALTRE FORME,Totale imprese,17,15,0,0,0
2022,0,F Costruzioni,F 42 Ingegneria civile,SARDEGNA,ORISTANO,ALTRE FORME,Totale imprese,4,3,0,0,0
2022,0,P Istruzione,P 85 Istruzione,SARDEGNA,ORISTANO,ALTRE FORME,Totale imprese,11,11,0,0,0
2022,0,H Trasporto e magazzinaggio,H 53 Servizi postali e attività di corriere,SARDEGNA,ORISTANO,SOCIETA' DI PERSONE,Totale imprese,2,1,0,0,0
2022,0,X Imprese non classificate,X Imprese non classificate,SARDEGNA,SASSARI,SOCIETA' DI CAPITALE,Totale imprese,2320,6,576,31,545
2022,0,K Attività finanziarie e assicurative,K 64 Attività di servizi finanziari (escluse le assicurazioni ...,SARDEGNA,NUORO,SOCIETA' DI CAPITALE,Totale imprese,8,8,1,0,1
2022,0,"M Attività professionali, scientifiche e tecniche",M 70 Attività di direzione aziendale e di consulenza gestional...,SARDEGNA,NUORO,ALTRE FORME,Totale imprese,18,17,1,1,0
2022,0,C Attività manifatturiere,C 28 Fabbricazione di macchinari ed apparecchiature nca,SARDEGNA,CAGLIARI,IMPRESE INDIVIDUALI,Totale imprese,28,28,0,1,-1
2022,0,J Servizi di informazione e comunicazione,J 58 Attività editoriali,SARDEGNA,CAGLIARI,ALTRE FORME,Totale imprese,19,16,0,0,0
2022,0,"M Attività professionali, scientifiche e tecniche",M 69 Attività legali e contabilità,SARDEGNA,ORISTANO,SOCIETA' DI CAPITALE,Totale imprese,12,8,0,0,0
2022,0,S Altre attività di servizi,S 95 Riparazione di computer e di beni per uso personale e per...,SARDEGNA,SASSARI,ALTRE FORME,Totale imprese,5,3,0,0,0
2022,0,Q Sanità e assistenza sociale,Q 87 Servizi di assistenza sociale residenziale,SARDEGNA,SASSARI,SOCIETA' DI CAPITALE,Totale imprese,17,16,0,0,0
